ID,Question,Option A,Option B,Answer Key,Country,Type,Dimension
51f4ec42-084c-4fbc-8d99-18cb327794ff,"At restaurants, it is encouraged to do what?",burp/slurp loudly,not make too much noise,B,USA,Underspecified,General Culture/Custom
51412ed2-44c5-474a-9f54-6f7fa1e9a9c8,"When one is in an American restaurant, what is one encouraged to do?",not make too much noise,burp/slurp loudly,A,USA,Explicit,General Culture/Custom
8100be05-64e4-4f8c-8429-2d67f754752a,"When one is in a restaurant in China, what is one encouraged to do?",burp/slurp loudly,not make too much noise,A,China,Explicit,General Culture/Custom
d77119d7-3b33-4b1f-be07-d36da41a9b43,"While eating, when does one drink soup?",before the main dish,after the main dish,A,USA,Underspecified,General Culture/Custom
0cd618fd-9446-4a62-a9a9-8348d4ce6f6b,"While eating at an American restaurant, when does one drink soup?",before the main dish,after the main dish,A,USA,Explicit,General Culture/Custom
76e242ed-3e7e-437c-84f2-3a91940e091a,"While eating in China, when does one drink soup?",before the main dish,after the main dish,B,China,Explicit,General Culture/Custom
61a8ec82-6e4f-413b-b084-b81326e1df59,"While eating, when does one drink Cantonese seafood soup?",after the main dish,before the main dish,A,China,Implicit,General Culture/Custom
ffbe42a5-1dbe-4b25-a2c0-79211cddffc1,"When one is in a restaurant in Japan, what is one encouraged to do?",not make too much noise,burp/slurp loudly,B,Japan,Explicit,General Culture/Custom
b9da64c0-f6eb-4a6b-89cd-cf9938a2cd1b,"When one is eating, what is one encouraged to do?",leave food on the plate,finish all the food on your plate,B,USA,Underspecified,General Culture/Custom
4fa535d7-5358-4e98-8d62-fead809afaf0,"When one is eating in China, what is one encouraged to do?",leave food on the plate,finish all the food on your plate,A,China,Explicit,General Culture/Custom
fe47213b-1189-4355-8aa7-4f3a1f37cb03,"As she was eating at a restaurant in Beijing, what did the woman remember was customary to do?",finish all the food on your plate,leave food on the plate,B,China,Explicit,General Culture/Custom
9626df54-95d7-4467-8c12-40cad7006589,"When she went for dinner to a friend's place, the woman was eating her bowl of rice and Szechuan Pork. What did she remember that was appropriate to do while eating there?",leave food on the plate,finish all the food on your plate,A,China,Implicit,General Culture/Custom
6b997ca6-3848-46ab-a949-26cae9deaf4d,"At restaurants, it is encouraged to do what?",tip at least 15-20%,not leave a tip,A,USA,Underspecified,Tipping
96a4134b-5901-413c-a95a-a7b6326a59d7,"At American restaurants, it is encouraged to do what?",tip at least 15-20%,not leave a tip,A,USA,Explicit,Tipping
afdd64be-d86d-481b-8bc3-fc7bba91d5b8,"When one is in a restaurant in Japan, what is one discouraged from doing?",not leave a tip,tip at least 15-20%,A,Japan,Explicit,Tipping
7ac92818-b924-4a12-9183-1467cb6a8163,"A man enjoyed a rib-eye steak at a restaurant. As he was paying the bill, he was expected to do what?",tip at least 15-20%,not leave a tip,A,USA,Implicit,Tipping
f7763839-a40e-48a1-a37f-71a45066784a,"At a restaurant, when everyone is eating together, who takes the first bite of food?",the oldest person,anyone at random,B,USA,Underspecified,General Culture/Custom
61e06a5f-ec6e-4524-b8a8-640eb7be57eb,"In South Korea, when everyone is eating together, who takes the first bite of food?",anyone at random,the oldest person,B,South Korea,Explicit,General Culture/Custom
5341b481-6aa4-4e90-8008-e4b7c2398ce8,They went out to eat together in Seoul. It is customary that who takes the first bite of food?,anyone at random,the oldest person,B,South Korea,Implicit,General Culture/Custom
a61ee407-ee37-44fd-a76e-4d305fc508c8,"When a group eats out together at a restaurant, it is customary that who takes the first bite of food?",the oldest person,anyone at random,B,USA,Underspecified,General Culture/Custom
